City Locations,Count
bangalore     ,635
mumbai         ,449
newdelhi       ,385
gurgaon        ,241
others ,179
pune           ,91
noida           ,79
hyderabad     ,77
chennai        ,67
ahmedabad       ,35
jaipur          ,25
kolkata        ,19
chandigarh     ,10
indore          ,9
vadodara        ,9
goa             ,8
delhi            ,4
kanpur           ,4
coimbatore       ,3
udupi            ,2
bhopal           ,2
siliguri         ,2
gwalior          ,2
trivandrum       ,2
agra             ,2
kochi            ,2
surat            ,1
lucknow          ,1
udaipur          ,1
kerala           ,1
seattle          ,1
varanasi         ,1
hubli            ,1
panaji           ,1
karur            ,1
nagpur           ,1
kozhikode        ,1
jodhpur          ,1
missourie        ,1
